description,best_ev
Unsuited JQ,0.498982
Suited TJ,0.498674
Unsuited JQ,0.497996
Suited TQ,0.497071
Suited TJ,0.496824
Unsuited JQ,0.495282
Unsuited JQ,0.495035
Suited TJ,0.494727
2 unsuited high cards king highest,0.494049
Suited TJ,0.493864
Suited TQ,0.493124
Suited TJ,0.492877
Unsuited JQ,0.491335
Suited TJ,0.49078
2 unsuited high cards king highest,0.490102
Suited TJ,0.489917
J only,0.489883
Suited TQ,0.489177
J only,0.488448
Unsuited JQ,0.488375
Suited TJ,0.488067
Suited TJ,0.48782
J only,0.487013
Suited TJ,0.486957
Suited TJ,0.486833
Suited TQ,0.486463
Suited TQ,0.486216
2 unsuited high cards king highest,0.486155
J only,0.485936
J only,0.485577
J only,0.484501
J only,0.484333
J only,0.484142
Suited TJ,0.48412
Q only,0.483918
Suited TJ,0.483873
2 unsuited high cards king highest,0.483441
J only,0.483424
2 unsuited high cards king highest,0.483195
J only,0.483066
J only,0.482897
J only,0.482673
J only,0.482617
Suited TQ,0.482516
Q only,0.482483
J only,0.481989
J only,0.481462
J only,0.481182
Q only,0.481047
J only,0.481014
J only,0.480913
Suited TQ,0.480419
J only,0.480386
J only,0.480296
Suited TJ,0.480173
J only,0.480161
J only,0.480105
J only,0.480027
Q only,0.479971
J only,0.479937
Q only,0.479612
2 unsuited high cards king highest,0.479494
J only,0.479354
J only,0.47895
J only,0.478861
Suited TK,0.478816
J only,0.478726
J only,0.478637
J only,0.478592
Suited TQ,0.478569
Q only,0.478536
Q only,0.478367
J only,0.478278
2 unsuited high cards ace highest,0.478261
K only,0.477953
J only,0.477874
J only,0.477515
Q only,0.477459
J only,0.477426
J only,0.477291
J only,0.477201
J only,0.477067
J only,0.476977
Q only,0.476932
J only,0.476842
Q only,0.476708
Q only,0.476652
J only,0.476618
A only,0.476517
K only,0.476517
Suited TQ,0.476472
J only,0.476439
J only,0.476394
J only,0.476349
Suited TJ,0.476226
J only,0.476125
J only,0.47599
J only,0.475901
J only,0.475631
Suited TQ,0.475609
Q only,0.475497
A only,0.475441
J only,0.475407
J only,0.475362
J only,0.475317
J only,0.475183
A only,0.475082
K only,0.475082
Q only,0.475048
J only,0.474914
Suited TK,0.474869
J only,0.47469
A only,0.474633
J only,0.474555
Q only,0.47442
J only,0.474331
Q only,0.474331
2 unsuited high cards ace highest,0.474314
J only,0.474241
Q only,0.474196
Q only,0.474062
A only,0.474006
K only,0.474006
Q only,0.473972
J only,0.473882
J only,0.473837
J only,0.473479
J only,0.473389
J only,0.473254
A only,0.473198
J only,0.473165
Q only,0.472985
Q only,0.472895
J only,0.472806
Q only,0.472761
Q only,0.472671
J only,0.472582
Suited TQ,0.472525
J only,0.472402
K only,0.472402
J only,0.472357
J only,0.471954
Q only,0.471909
Q only,0.47146
J only,0.471371
J only,0.471326
J only,0.471146
Q only,0.471101
Q only,0.471012
A only,0.470967
K only,0.470967
Q only,0.470877
A only,0.470743
K only,0.470743
J only,0.470653
Q only,0.470653
Q only,0.470384
J only,0.470294
Q only,0.47016
Q only,0.470025
Q only,0.469935
A only,0.46989
J only,0.469846
A only,0.469666
Suited TQ,0.469565
A only,0.469532
K only,0.469532
A only,0.469307
A only,0.469083
Q only,0.468949
A only,0.468859
Q only,0.468724
A only,0.468455
K only,0.468455
